filename,width,height,class,xmin,ymin,xmax,ymax
DJI_0225_01_01.png,1000,1000,tassels,72,545,264,653
DJI_0225_01_01.png,1000,1000,tassels,835,565,941,682
DJI_0225_01_01.png,1000,1000,tassels,3,780,377,936
DJI_0225_01_01.png,1000,1000,tassels,716,763,1000,916
DJI_0225_01_02.png,1000,1000,tassels,1,494,357,627
DJI_0225_01_02.png,1000,1000,tassels,447,470,851,608
DJI_0225_01_02.png,1000,1000,tassels,921,480,1000,573
DJI_0225_01_02.png,1000,1000,tassels,5,715,596,873
DJI_0225_01_02.png,1000,1000,tassels,639,753,887,887
DJI_0225_01_02.png,1000,1000,tassels,926,722,1000,831
DJI_0225_01_03.png,1000,1000,tassels,789,432,1000,592
DJI_0225_01_03.png,1000,1000,tassels,106,512,217,644
DJI_0225_01_03.png,1000,1000,tassels,328,460,523,566
DJI_0225_01_03.png,1000,1000,tassels,80,714,521,842
DJI_0225_01_03.png,1000,1000,tassels,652,156,810,292
DJI_0225_01_03.png,1000,1000,tassels,642,1,959,88
DJI_0225_01_03.png,1000,1000,tassels,1,506,55,610
DJI_0225_01_04.png,1000,1000,tassels,7,120,1000,302
DJI_0225_01_04.png,1000,1000,tassels,95,375,797,553
DJI_0225_01_04.png,1000,1000,tassels,113,667,977,831
DJI_0226_01_03.png,1000,1000,tassels,609,365,1000,562
DJI_0226_01_03.png,1000,1000,tassels,630,629,826,778
DJI_0226_01_03.png,1000,1000,tassels,332,898,505,1000
DJI_0226_01_03.png,1000,1000,tassels,765,901,977,1000
DJI_0226_01_04.png,1000,1000,tassels,130,139,230,235
DJI_0226_01_04.png,1000,1000,tassels,299,128,399,221
DJI_0226_01_04.png,1000,1000,tassels,11,290,997,529
DJI_0226_01_04.png,1000,1000,tassels,12,596,993,792
DJI_0226_01_04.png,1000,1000,tassels,15,869,729,1000
DJI_0226_02_01.png,1000,1000,tassels,5,2,327,123
DJI_0226_02_01.png,1000,1000,tassels,848,3,945,112
DJI_0226_02_01.png,1000,1000,tassels,4,224,452,346
DJI_0226_02_01.png,1000,1000,tassels,732,199,990,346
DJI_0226_02_02.png,1000,1000,tassels,3,2,364,90
DJI_0226_02_02.png,1000,1000,tassels,3,199,999,313
DJI_0226_02_03.png,1000,1000,tassels,1,163,521,302
DJI_0226_02_04.png,1000,1000,tassels,12,125,924,261
DJI_0227_01_01.png,1000,1000,tassels,8,317,275,440
DJI_0227_01_01.png,1000,1000,tassels,3,534,163,691
DJI_0227_01_01.png,1000,1000,tassels,837,532,935,617
DJI_0227_01_02.png,1000,1000,tassels,132,294,294,394
DJI_0227_01_02.png,1000,1000,tassels,40,102,143,207
DJI_0227_01_02.png,1000,1000,tassels,338,95,468,204
DJI_0227_01_02.png,1000,1000,tassels,573,107,677,208
DJI_0227_01_02.png,1000,1000,tassels,787,100,907,206
DJI_0227_01_02.png,1000,1000,tassels,909,47,1000,179
DJI_0227_01_02.png,1000,1000,tassels,669,262,826,376
DJI_0227_01_03.png,1000,1000,tassels,1,65,73,148
DJI_0227_01_03.png,1000,1000,tassels,153,85,472,227
DJI_0227_01_03.png,1000,1000,tassels,770,41,1000,168
DJI_0227_01_03.png,1000,1000,tassels,642,264,967,394
DJI_0227_01_03.png,1000,1000,tassels,534,528,628,655
DJI_0227_01_03.png,1000,1000,tassels,648,488,729,606
DJI_0227_01_03.png,1000,1000,tassels,765,550,862,621
DJI_0227_01_03.png,1000,1000,tassels,898,516,1000,627
DJI_0227_01_03.png,1000,1000,tassels,701,712,1000,835
DJI_0227_01_04.png,1000,1000,tassels,186,54,443,168
DJI_0227_01_04.png,1000,1000,tassels,20,264,218,360
DJI_0227_01_04.png,1000,1000,tassels,320,264,548,371
DJI_0227_01_04.png,1000,1000,tassels,642,231,957,343
DJI_0227_01_04.png,1000,1000,tassels,4,481,927,596
DJI_0227_01_04.png,1000,1000,tassels,1,720,302,862
DJI_0227_01_04.png,1000,1000,tassels,353,691,681,827
